"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения списка объявлений по sellerId после создания нескольких объявлений","1539","Получение объявлений продавца","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка, что ответ API приходит в формате JSON и содержит корректный Content-Type","416","Проверка формата ответа API","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка ошибки при запросе объявления с несуществующим UUID идентификатором","416","Получение объявления по несуществующему id","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка, что время ответа API при получении статистики не превышает допустимое значение","859","Проверка времени ответа при получении статистики","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка получения статистики объявления и корректности структуры и типов данных","857","Получение статистики объявления","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка успешного создания объявления через POST запрос","661","Создание объявления с валидными данными","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка ошибки при создании объявления без обязательного поля name","421","Создание объявления без обязательного поля","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка, что при повторной отправке одинакового POST запроса создаются разные объявления с уникальными id","1183","Идемпотентность создания объявления","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка создания объявления и последующего получения его по id с валидацией данных","839","Получение объявления по id (e2e)","tests","2026-04-05","passed","2026-04-05","","test_api","",""
"Проверка валидации поля price: отрицательное значение не должно приниматься системой","415","Создание объявления с отрицательной ценой","tests","2026-04-05","failed","2026-04-05","","test_api","",""
